"AGENCY_ID","log_n_train_rows","n_train_years_active","n_train_rows","has_trend_support","n_years_for_trend","mean_log_wp_train","median_log_wp_train","mean_log_prev_wp_train","median_log_prev_wp_train","mean_log_prev_poly_train","median_log_prev_poly_train","sd_log_wp_train","iqr_log_wp_train","sd_log_prev_poly_train","mean_active_producers_train","agency_appointment_year","mean_max_age_train","mean_min_age_train","n_products_train","n_states_train","n_vendors_train","top_product_share","product_hhi","top_state_share","state_hhi","top_vendor_share","vendor_hhi","pl_share_train","cl_share_train","slope_mean_log_wp_by_year"
8311,4.72738781871234,7,112,TRUE,7,7.8365115559058,7.37088135486951,8.02449616779628,7.61833196398943,2.01398815851367,0,1.80777976181157,3.0451688665095,2.53469947710134,12,1981,95,30,18,1,1,0.0625,0.0578762755102041,1,1,1,1,0.455357142857143,0.544642857142857,-0.0983905465338955
8317,4.72738781871234,7,112,TRUE,7,8.82092260820388,9.79055121351234,8.85275809642513,9.9869104961022,1.78660487111042,0,2.34962433591183,3.75365520332921,2.39110732908389,11,1988,67,48,19,1,1,0.0625,0.0583545918367347,1,1,1,1,0.428571428571429,0.571428571428571,0.098408519782882
8336,0.693147180559945,1,1,FALSE,1,5.08759633523238,5.08759633523238,11.5129254649702,11.5129254649702,11.5129254649702,11.5129254649702,NA,0,NA,6,1983,78,55,1,1,1,1,1,1,1,1,1,0,1,NA
8345,4.12713438504509,5,61,TRUE,5,7.4582758175427,7.12125245324454,7.63478237138092,7.24289090845615,2.37133415268153,0,2.23907461120509,3.00594234105866,3.09886476048934,20,1998,80,34,16,1,1,0.0819672131147541,0.0685299650631551,1,1,1,1,0.442622950819672,0.557377049180328,-0.399037326246008
8355,3.29583686600433,7,26,TRUE,7,9.09137484633133,10.8965017224636,9.82160291503891,11.0025469900548,6.31085589437366,6.8046698264663,2.53155938637922,4.55230705109175,2.8527675868746,25,2005,74,29,6,1,1,0.269230769230769,0.230769230769231,1,1,1,1,1,0,-0.111865739118636
8357,2.99573227355399,2,19,FALSE,2,8.90602586352732,9.14109746923402,10.2509588987603,11.5129254649702,6.66537790077224,11.5129254649702,1.18026078305849,1.91207730155728,5.8400151813901,19,2011,80,30,11,1,1,0.105263157894737,0.0969529085872576,1,1,1,1,0.105263157894737,0.894736842105263,NA
8365,5.48893772615669,7,241,TRUE,7,8.65830287701007,8.28374674710613,8.81036812036436,8.46378397583495,2.36617512014582,0,2.62918643315427,4.38332321471563,3.46099079430414,77,1956,88,24,21,5,1,0.0954356846473029,0.0601745837709406,0.560165975103734,0.406001962776123,1,1,0.385892116182573,0.614107883817427,0.0683054112171834
8377,3.3322045101752,7,27,TRUE,7,6.74337599853939,7.32448997934853,7.60995281489049,8.30745439360066,4.82175194593772,3.61091791264422,1.77475669221536,2.54645697512765,4.32795303606247,22,2005,69,35,9,1,1,0.259259259259259,0.1440329218107,1,1,1,1,0.592592592592593,0.407407407407407,0.0199402451534479
8378,4.58496747867057,7,97,TRUE,7,9.260567952759,9.85897856105502,9.39881951883634,9.92623681462891,1.07810035202647,0,2.09948715177197,3.24144466276643,2.07503208864217,4,1990,83,65,15,2,1,0.103092783505155,0.0736528855351259,0.969072164948454,0.940057391858859,1,1,0.247422680412371,0.752577319587629,-0.0214045033989283
8392,3.80666248977032,4,44,TRUE,4,7.48121752135141,7.07764965016202,8.62478431761688,9.24352685684675,4.64923486765456,1.93560050545395,1.89241677949995,3.01107923629499,5.19439218869089,30,2009,77,27,15,1,1,0.0909090909090909,0.0774793388429752,1,1,1,1,0.386363636363636,0.613636363636364,0.627928043210308
